project,report_ID,task_ID,"task_state (rejected, pending, completed)","expired (Yes or No)",user,task_create_date,report_start_date,report_save_date,report_update_date,last_user,report_sent_date,task_limit_date,task_update_date,task_latitude,task_longitude,report_latitude,report_longitude,task_description,task_observation,Detalle,"Tipo incidencia","Localización (Mapa)",Foto,Observaciones
INCIDENCIA,KDPPB,,,Yes,ayagaures.pistas1,,"2018-01-02 09:03:10","2018-01-02 09:04:49","2018-01-02 10:01:05",,"2018-01-02 10:01:05",,,,,27.7932611,-15.7026623,,,Detalle,"Caída distinto nivel","27.861704047809784,-15.644641220569612",https://web.surikat.io/uploads/img/submissions/6263707BBCD105F4A885987A980C75A3/81_02-01-2018_09-04-49_1513762025395.png,
INCIDENCIA,KDPPf,,,Yes,ayagaures.pistas1,,"2018-01-02 09:09:46","2018-01-02 09:10:33","2018-01-02 10:45:11",,"2018-01-02 10:45:11",,,,,27.785299,-15.6326386,,,Detalle,Desprendimiento,"27.865339755718534,-15.64595215022564",https://web.surikat.io/uploads/img/submissions/6263707BBCD105F4A885987A980C75A3/82_02-01-2018_09-10-33_1513762025395.png,
INCIDENCIA,KDPP0,,,Yes,ayagaures.pistas1,,"2018-01-02 10:05:13","2018-01-02 10:07:20","2018-01-02 11:03:35",,"2018-01-02 11:03:35",,,,,27.8760936,-15.6714966,,,Detalle,"Caída distinto nivel","27.880392884726035,-15.645984336733816",https://web.surikat.io/uploads/img/submissions/6263707BBCD105F4A885987A980C75A3/84_02-01-2018_10-07-20_1513762025395.png,
INCIDENCIA,KDPPY,,,Yes,ayagaures.pistas1,,"2018-01-02 10:09:04","2018-01-02 10:10:02","2018-01-02 11:06:16",,"2018-01-02 11:06:16",,,,,27.8760936,-15.6714966,,,Detalle,Cárcavas,"27.880789412593423,-15.64557932317257",https://web.surikat.io/uploads/img/submissions/6263707BBCD105F4A885987A980C75A3/85_02-01-2018_10-10-02_1513762025395.png,
INCIDENCIA,KDPPS,,,Yes,ayagaures.pistas1,,"2018-01-02 10:33:53","2018-01-02 10:36:01","2018-01-02 11:32:21",,"2018-01-02 11:32:21",,,,,27.8760936,-15.6714966,,,Detalle,Cárcavas,"27.885218986561924,-15.645717456936836",https://web.surikat.io/uploads/img/submissions/6263707BBCD105F4A885987A980C75A3/86_02-01-2018_10-36-01_1513762025395.png,
INCIDENCIA,KDPPg,,,Yes,ayagaures.pistas1,,"2018-01-02 10:48:53","2018-01-02 10:50:25","2018-01-02 11:46:39",,"2018-01-02 11:46:39",,,,,27.9454771,-15.5805968,,,Detalle,Cárcavas,"27.89259478677661,-15.646368563175201",https://web.surikat.io/uploads/img/submissions/6263707BBCD105F4A885987A980C75A3/87_02-01-2018_10-50-25_1513762025395.png,
INCIDENCIA,KDPXa,,,Yes,ayagaures.pistas1,,"2018-01-02 12:15:44","2018-01-02 12:17:16","2018-01-02 13:13:28",,"2018-01-02 13:13:28",,,,,27.8760936,-15.6714966,,,Detalle,Cárcavas,"27.884895968961267,-15.651997178792953",https://web.surikat.io/uploads/img/submissions/6263707BBCD105F4A885987A980C75A3/90_02-01-2018_12-17-16_1513762025395.png,
INCIDENCIA,KDPXN,,,Yes,ayagaures.pistas1,,"2018-01-02 12:27:33","2018-01-02 12:29:04","2018-01-02 13:25:38",,"2018-01-02 13:25:38",,,,,27.7643618,-15.631539,,,Detalle,Cárcavas,"27.877742512081035,-15.655520595610142",https://web.surikat.io/uploads/img/submissions/6263707BBCD105F4A885987A980C75A3/91_02-01-2018_12-29-04_1513762025395.png,
INCIDENCIA,KDPXU,,,Yes,ayagaures.pistas1,,"2018-01-02 12:30:45","2018-01-02 12:33:30","2018-01-07 21:26:19",vias.motor.gc,"2018-01-02 13:29:45",,,,,27.7854815,-15.6403362,,,Detalle,Cárcavas,"27.877390428178085,-15.655548088252544",https://web.surikat.io/uploads/img/submissions/6263707BBCD105F4A885987A980C75A3/92_02-01-2018_12-33-30_1513762025395.png,
INCIDENCIA,KDPXs,,,Yes,ayagaures.pistas1,,"2018-01-02 15:13:00","2018-01-02 15:14:05","2018-01-02 16:29:34",,"2018-01-02 16:29:34",,,,,27.9294169,-15.5868264,,,Detalle,Cárcavas,"27.867924928901207,-15.638889223337173",https://web.surikat.io/uploads/img/submissions/6263707BBCD105F4A885987A980C75A3/100_02-01-2018_15-14-05_1513762025395.png,
INCIDENCIA,KDPQi,,,Yes,ayagaures.pistas1,,"2018-01-03 12:49:23","2018-01-03 12:50:47","2018-01-03 13:47:00",,"2018-01-03 13:47:00",,,,,27.8187606,-15.4655728,,,Detalle,Cárcavas,"27.87898724397667,-15.542078241705896",https://web.surikat.io/uploads/img/submissions/6263707BBCD105F4A885987A980C75A3/112_03-01-2018_12-50-47_1513762025395.png,
